date,actual
2023-01-17,-0.062305295950156
2023-01-18,0.8255451713395632
2023-01-19,1.4330218068535832
2023-01-20,3.0685358255451716
2023-01-21,1.9158878504672887
2023-01-22,-0.062305295950156
2023-01-23,0.7788161993769478
2023-01-24,0.06230529595015601
2023-01-25,1.5576323987538934
2023-01-26,4.641744548286603
2023-01-27,1.6666666666666665
2023-01-28,1.4953271028037394
2023-01-29,0.09345794392523331
2023-01-30,2.77258566978193
2023-01-31,1.3084112149532703
2023-02-01,1.962616822429907
2023-02-02,0.3738317757009348
2023-02-03,4.485981308411214
2023-02-04,2.741433021806854
2023-02-05,5.74766355140187
2023-02-06,0.5607476635514017
2023-02-07,4.0498442367601255
2023-02-08,1.806853582554517
2023-02-09,-0.062305295950156
2023-02-10,0.9501557632398752
2023-02-11,-0.21806853582554545
2023-02-12,-0.37383177570093457
2023-02-13,5.981308411214957
2023-02-14,0.6853582554517128
2023-02-15,3.271028037383177
2023-02-16,1.0280373831775695
2023-02-17,1.7445482866043625
2023-02-18,0.8722741433021808
2023-02-19,-0.062305295950156
2023-02-20,1.6199376947040505
2023-02-21,1.9937694704049846
2023-02-22,1.651090342679129
2023-02-23,2.601246105919005
2023-02-24,2.336448598130841
2023-02-25,0.5295950155763238
2023-02-26,2.3987538940809965
2023-02-27,3.146417445482868
2023-02-28,0.0
2023-03-01,5.031152647975077
2023-03-02,2.492211838006231
2023-03-03,1.5887850467289732
2023-03-04,1.4330218068535832
2023-03-05,0.3115264797507786
2023-03-06,0.3115264797507786
2023-03-07,-0.24922118380062316
2023-03-08,1.4330218068535832
2023-03-09,5.950155763239876
2023-03-10,0.8411214953271036
2023-03-11,-0.49844236760124594
2023-03-12,-0.747663551401869
2023-03-13,3.36448598130841
2023-03-14,2.0249221183800636
2023-03-15,4.39252336448598
2023-03-16,2.2118380062305305
2023-03-17,1.3395638629283484
2023-03-18,1.6043613707165112
2023-03-19,9.439252336448595
2023-03-20,0.12461059190031115
2023-03-21,0.49844236760124605
2023-03-22,-0.24922118380062316
2023-03-23,2.087227414330219
2023-03-24,-0.747663551401869
2023-03-25,1.6199376947040505
2023-03-26,-0.12461059190031176
2023-03-27,2.242990654205609
2023-03-28,2.3052959501557626
2023-03-29,2.367601246105919
2023-03-30,0.09345794392523331
