date,predicted
2023-01-17,0.23844710316582654
2023-01-18,2.141794758324036
2023-01-19,0.777708470879239
2023-01-20,1.5185387746898473
2023-01-21,1.035181690521172
2023-01-22,1.318541028527028
2023-01-23,1.140841555119266
2023-01-24,1.2478557263081163
2023-01-25,1.181774612561295
2023-01-26,1.2219631131624182
2023-01-27,1.197292081558512
2023-01-28,1.2123510360237852
2023-01-29,1.2031270106351606
2023-01-30,1.2087649233381423
2023-01-31,1.2053144069969925
2023-02-01,1.2074245047147132
2023-02-02,1.206133483084169
2023-02-03,1.2069231328561845
2023-02-04,1.2064400573560445
2023-02-05,1.2067355501398933
2023-02-06,1.2065547875746376
2023-02-07,1.2066653612931004
2023-02-08,1.2065977208466712
2023-02-09,1.2066390973900298
2023-02-10,1.20661378657599
2023-02-11,1.2066292695887455
2023-02-12,1.2066197983586222
2023-02-13,1.2066255920632787
2023-02-14,1.2066220479556713
2023-02-15,1.206624215944749
2023-02-16,1.2066228897494065
2023-02-17,1.206623701005129
2023-02-18,1.2066232047464331
2023-02-19,1.2066235083161438
2023-02-20,1.206623322617482
2023-02-21,1.2066234362124497
2023-02-22,1.206623366724512
2023-02-23,1.2066234092314425
2023-02-24,1.206623383229244
2023-02-25,1.2066233991352227
2023-02-26,1.2066233894052703
2023-02-27,1.2066233953572447
2023-02-28,1.2066233917163225
2023-03-01,1.2066233939435356
2023-03-02,1.206623392581112
2023-03-03,1.206623393414529
2023-03-04,1.206623392904714
2023-03-05,1.2066233932165766
2023-03-06,1.2066233930258052
2023-03-07,1.2066233931425034
2023-03-08,1.206623393071117
2023-03-09,1.2066233931147852
2023-03-10,1.2066233930880723
2023-03-11,1.206623393104413
2023-03-12,1.206623393094417
2023-03-13,1.2066233931005317
2023-03-14,1.2066233930967911
2023-03-15,1.206623393099079
2023-03-16,1.2066233930976797
2023-03-17,1.206623393098536
2023-03-18,1.206623393098012
2023-03-19,1.2066233930983326
2023-03-20,1.2066233930981367
2023-03-21,1.2066233930982562
2023-03-22,1.206623393098183
2023-03-23,1.2066233930982277
2023-03-24,1.2066233930982007
2023-03-25,1.2066233930982175
2023-03-26,1.2066233930982073
2023-03-27,1.2066233930982135
2023-03-28,1.2066233930982095
2023-03-29,1.2066233930982122
2023-03-30,1.2066233930982104
