model,mae
ARIMA,342.79163755379005
SARIMA,362.04321875808847
AUTO ARIMA,456.9512425918184
AUTO SARIMA,456.9512425918184
CUSTOM AUTO ARIMA,426.0345680599645
LIGHTGBM,432.6368419156127
XGBOOST,377.9058750697545
